"id";"name";"type";"title";"info";"foto"
1;"Harry Potter and the Philosopher's Stone";"kitap";"Harry Potter 1";"J.K. Rowling'un büyücülük maceraları";""
2;"To Kill a Mockingbird";"kitap";"Mockingbird'ı Öldürmek";"Harper Lee'nin Amerikan edebiyatının klasiklerinden biri";""
3;"1984";"kitap";"1984";"George Orwell'un totaliter bir gelecek vizyonu";""
4;"The Catcher in the Rye";"kitap";"Çavdar Tarlasında Çocuklar";"J.D. Salinger'in ergenlik döneminin simgesel romanı";""
5;"Pride and Prejudice";"kitap";"Gurur ve Önyargı";"Jane Austen'ın İngiliz edebiyatının klasiklerinden biri";""
6;"The Great Gatsby";"kitap";"Büyük Gatsby";"F. Scott Fitzgerald'ın 1920'lerin Amerika'sında yaşam ve aşkı anlattığı romanı";""
7;"Moby-Dick";"kitap";"Moby-Dick";"Herman Melville'in bir balina avcısının hikayesi";""
8;"The Alchemist";"kitap";"Simyacı";"Paulo Coelho'nun kişisel arayış ve keşif hikayesi";""
9;"Crime and Punishment";"kitap";"Suç ve Ceza";"Fyodor Dostoevsky'nin bir suçlunun vicdan azabı ve kefaret arayışını anlattığı romanı";""
10;"The Odyssey";"kitap";"Odyssia";"Homer'ın antik Yunan mitolojisi ve macerası";""
11;"The Hunger Games";"kitap";"Açlık Oyunları";"Suzanne Collins'in bir distopya dünyasında hayatta kalma mücadelesi veren karakterleri anlattığı romanı";""
12;"The Road";"kitap";"Yol";"Cormac McCarthy'nin baba ve oğlunun hayatta kalma mücadelesini anlattığı romanı";""
13;"Don Quixote";"kitap";"Don Kişot";"Miguel de Cervantes'in macera ve hayal gücü dolu romanı";""
14;"One Hundred Years of Solitude";"kitap";"Yüzyıllık Yalnızlık";"Gabriel Garcia Marquez'in büyüleyici bir aile hikayesi";""
15;"The Picture of Dorian Gray";"kitap";"Dorian Gray'ın Portresi";"Oscar Wilde'ın güzelliğin ve çürümenin sembolik hikayesi";""
16;"The Little Prince";"kitap";"Küçük Prens";"Antoine de Saint-Exupéry'nin büyük insanlık temalarını içeren çocuk kitabı";""
17;"The Adventures of Sherlock Holmes";"kitap";"Sherlock Holmes Maceraları";"Arthur Conan Doyle'un ünlü dedektifin maceralarını anlattığı serisi";""
18;"The Lord of the Rings";"kitap";"Yüzüklerin Efendisi";"J.R.R. Tolkien'in Orta Dünya maceralarını konu alan serisi";""
19;"War and Peace";"kitap";"Savaş ve Barış";"Leo Tolstoy'un Napolyon'un Rusya seferini anlattığı epik romanı";""
20;"The Grapes of Wrath";"kitap";"Gazap Üzümleri";"John Steinbeck'in bir ailenin büyük buhran dönemindeki hayat mücadelesini anlattığı romanı";""
21;"The Shawshank Redemption";"film";"Esaretin Bedeli";"Frank Darabont'un suç ve dram türündeki unutulmaz filmi";""
22;"The Godfather";"film";"Baba";"Francis Ford Coppola'nın mafya ve suç dünyasını anlattığı klasik filmi";""
23;"The Dark Knight";"film";"Kara Şövalye";"Christopher Nolan'ın süper kahraman ve aksiyon dolu filmi";""
24;"Forrest Gump";"film";"Forrest Gump";"Robert Zemeckis'in dram ve romantizm dolu filmi";""
25;"The Lord of the Rings: The Return of the King";"film";"Yüzüklerin Efendisi: Kralın Dönüşü";"Peter Jackson'ın fantastik ve macera dolu filmi";""
26;"Inception";"film";"Başlangıç";"Christopher Nolan'ın bilim kurgu ve gerilim dolu filmi";""
27;"Fight Club";"film";"Dövüş Kulübü";"David Fincher'ın dram ve gerilim türündeki etkileyici filmi";""
28;"Pulp Fiction";"film";"Ucuz Roman";"Quentin Tarantino'nun suç ve drama türündeki unutulmaz filmi";""
29;"The Matrix";"film";"Matrix";"Lana Wachowski, Lilly Wachowski'nin bilim kurgu ve aksiyon dolu filmi";""
30;"The Silence of the Lambs";"film";"Kuzuların Sessizliği";"Jonathan Demme'nin gerilim ve suç türündeki ünlü filmi";""
31;"Schindler's List";"film";"Schindler'in Listesi";"Steven Spielberg'ün dram ve tarih dolu filmi";""
32;"The Green Mile";"film";"Yeşil Yol";"Frank Darabont'un dram ve fantastik türündeki filmi";""
33;"The Godfather Part II";"film";"Baba 2";"Francis Ford Coppola'nın devam filmi ve mafya dünyasını anlattığı klasik filmi";""
34;"Harry Potter and the Philosopher's Stone";"kitap";"Harry Potter 1";"J.K. Rowling'un büyücülük maceraları";""
35;"To Kill a Mockingbird";"kitap";"Mockingbird'ı Öldürmek";"Harper Lee'nin Amerikan edebiyatının klasiklerinden biri";""
